                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3198,                  4.014,                 1.8962,                0.00477,                0.66211,                 0.0475,                0.02085,                 1.3356,                 3.6822,                 1.2796,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                 1.8137,                 3.4072,                 1.5707,                0.00597,                0.71775,                  0.066,                0.03768,                  1.432,                 3.6134,                 1.3518,             0.00014163,             0.00014163,             0.00014163
                      3,                 1.4697,                  2.727,                 1.4188,                0.00628,                0.72304,                0.10353,                0.05372,                 1.3456,                 3.5061,                 1.3773,             0.00019483,             0.00019483,             0.00019483
                      4,                 1.3716,                 2.4564,                 1.3419,                0.00652,                0.73454,                 0.1123,                0.05391,                 1.2822,                 3.4244,                 1.3529,             0.00023106,             0.00023106,             0.00023106
                      5,                 1.2577,                 2.3279,                 1.3448,                0.00681,                0.73983,                0.15733,                0.11501,                 1.2364,                 3.3109,                 1.3454,              0.0002503,              0.0002503,              0.0002503
                      6,                 1.2167,                 2.1139,                 1.2852,                0.84964,                0.08046,                0.36749,                0.28055,                 1.2995,                 3.2261,                 1.3167,             0.00025258,             0.00025258,             0.00025258
                      7,                 1.1509,                 2.0334,                 1.2527,                0.87653,                0.11494,                0.34953,                0.26382,                 1.2602,                 3.1438,                 1.3167,             0.00023787,             0.00023787,             0.00023787
                      8,                 1.1238,                 2.0155,                 1.2126,                0.79355,                0.16253,                0.37888,                0.24837,                 1.2721,                 3.1252,                 1.3122,             0.00020619,             0.00020619,             0.00020619
                      9,                 1.0173,                 1.8119,                 1.1776,                0.44035,                0.21839,                0.36971,                0.20536,                 1.2177,                 3.0165,                 1.2783,             0.00015753,             0.00015753,             0.00015753
                     10,                 1.0605,                 1.8696,                 1.1849,                0.52919,                0.30805,                0.38485,                0.23291,                 1.1946,                 2.9188,                 1.2651,             9.1899e-05,             9.1899e-05,             9.1899e-05
